Year, Street Sign Installer,0,1st Level Apprentice,ASSOCIATE,ASSOCIATE EMPLOYEE PT,Admin Asst 1,Administrative,Agent,Apprentice,Apprentice 1,Armed Security Professional,Assistants,Associate,"Associate, Program Assistant",Asspciate,At Your Service Center Assoc,Auto Mechanic,Auto Tech,Automotive Tech,BUS OPERATOR,Baker-Assistant,Banquet Server,Bartender,Behavioral Health Tech,Bus Attendant,Bus Operator,CDL-B concrete pump truck driv,CITY CARRIER ASSISTANT 1,CONSTRUCTION-GENERAL LABORER,CRAFT WORKER SKILLED,CSR,CUSTODIAL WORKER,Cable Splicer,Canvasser,Carrier,Cashier,City Carrier Assistant 1,Cleaner,"Clerk, Cashier",Community Outreach Specialist,Concierge,Construction Laborer,Construction Worker,Construction worker,Contractor,Contractor-Clerk,Cook,Courier,Courier/DOT,Crew Member,Customer Service Specialist,DOCUMENT REVIEW ANALYST,Data  Seurity Analyst,Dedicated Aide,Delivery Associate,Delivery Driver,Delivery Expert,Demolition laborer,Desktop Support,Development Assistant,Dishwasher,Distribution Groundman,Driver,Driver in Training,Driver/Courier,ENGINEERING TECHNICIAN,Electrician,Energy Consultant,Event Staff,Event Staff Member,FIRST TRANSIT DRIVER,FLM Sales Associate,FOOD SERVICE,FREIGHT TEAM ASSOCIATE,Ffx Driver,Field Service Rep,Field Technician,Flagger,Flagger & Time Keeper,Floor Houseperson,Food Prep,Food Service Worker,Freight/Receiving,Fueler,Fulfillment Associate,Fulfillment Expert,Fundraising,GS CSR Tier I,Garage Attendant,Gen Utility Worker,General Clerk,General Construction Worker,General Laborer,General utility specialist,Griller,Groundman,Guest Advocate,Guest Request Runner,Guest Service Associate,Guest Services Ambassador,HOLIDAY CLERK ASSISTANT,HR Generalist,Hardware Store Associate,Help Desk,Help Desk Technician I,Help desk Technician,Helpdesk Senior Specialist,Helpdesk Technician,Helper,Helper Meter Technician,Helper Substation Tech,Helper Substation Technician,Helper Transformer Tester,Host,Housekeeper,IT Contractor,IT Help Desk,IT Management Analyst Contract,IT Operations Specialist Level,IT Support Specialist,IT Technical Support,IT Technician,In-Store Shopper,Inspector,Installer,Instructor,Interconnection Specialist,Intern,Intervention Specialist,LABORER UNSKILLED,Laborer,Laborer / Mover,Laborer Journe,Laborer Unskilled,Legal Sales Assistant,Light Mechanic,Line Cook,Line Locator,Lineman,Linemen,Litter Collector,Loader/Unloader,Loading,Lube Tech,MAINTENANCE TECH II,MATERIAL HANDLER,Maintence,Make Ready,Make Ready/Maintenance,Marina Guest Service Associate,Materials Hauler,Mechanic,Medical Assistant,Motor Vehicle Operator,Mover,N-ATHLETIC TEAMS,Nutrition Aide,OPS - UN: Security Professiona,Office Assistant,Office mover,Over Head Linemen,PATIENT SITTER,PC Specialist,PC Systems Specialist,PM - Maintenance II,PM-Porter/Groundskeeper I,PSE MAIL PROCESSING CLERK,PT Delivery Driver,PT S ales,Package Driver,Package Handler,ParaTransit Driver,Paratransit Driver,Parts Counter,Patient Care Coordinator,Personal Care,Pharmacy Tech,Pipefitter,Porter,Preloader,Prepared Foods Service Team Me,Production,Production Assembler,Program Coordinator,Protective Security Ofcr,Protector,RETAIL ASSOCIATE,Receiving Associate,Receptionist,Repair Tech,Retail Associate,Retail Hostess,Retail Sales,Runner,STUDENT M/BUS OPER,Safety Tech,Sales Associate,Sales Floor Associate,Sales Manager,Sales Specialist Appliances,Same Day Courier,Seasonal Associate,Seasonal Helper,Seasonal Sales Associate,Security,Security Guard,Security Officer,Security Officer - Premise,Server,Service Maintenance Technician,Sheet Metal Apprentice,Skilled Laborer,Small Format Team Member,Solar Installer,Solar Photovoltaic Installer,Sorter,Specialist Boutique Coffee,Sprinter Diesel Tech,Stand Worker,Stock Associate,Stock Clerk,Stock Worker and Receiver,Stockperson,Store Clerk,Store Driver,Street Sign Installer,Student Bus Operator,Substation Helper,Substation Helper NERC,Substation Operations Trainee,TECHNICIAN,TECHNICIAN TECH SERVICES,Taste of DC Event,Teachers Aide,Team Member,Temp Worker,Temp/Contractor,Temp/Laborer,Tier 1 IT Support,Tier Il Deskside Support Techn,Tour Bus Driver,Tour Driver,Traffic Control Services,Transit Bus Driver,Truck Driver with CDL B,Unskilled Laborer,Utility,Utility HLE TNC,Utility Service Worker Apprent,Utility Worker,Valet,WAV DC Driver (non CDL),Warehouse Laborer,Warehouse Worker,Warehouseman,admin,associate,canvasser,carpenter,case manager,concierge,contractor,crew member,custodian,dedicated aid,delivery driver,dishwasher,driver,driver in training,event cleaner,flagger,food service worker,general laborer,groundsman,helper,housekeeping,installer,laborer,laborer/mover,lineman,mail carrier,mover/installer,overnight merchandise associat,part time package handler,repair,sales,sales associate,seasonal helper,substation helper,substation technician,technician,unlisted,warehouse worker,workforce training supervisor
,,,,Flagger,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Solar Installer,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cashier,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,General Laborer,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lineman,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Team Member,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Security Guard,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Event Staff,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Installer,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sales Associate,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Utility Worker,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,associate,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bus Operator,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Crew Member,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LABORER UNSKILLED,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
